Season,Team,Wins,Three_Point_Pct,Two_Point_Pct
2019-20,Milwaukee Bucks*,60,35.3,56.5
2019-20,Golden State Warriors*,57,38.5,55.7
2019-20,New Orleans Pelicans,33,34.4,53.6
2019-20,Philadelphia 76ers*,51,35.9,52.9
2019-20,Los Angeles Clippers*,48,38.8,50.7
2019-20,Portland Trail Blazers*,53,35.9,52.3
2019-20,Oklahoma City Thunder*,49,34.8,51
2019-20,Toronto Raptors*,58,36.6,53.9
2019-20,Sacramento Kings,39,37.8,50.4
2019-20,Washington Wizards,32,34.1,54.3
2019-20,Houston Rockets*,53,35.6,55.1
2019-20,Atlanta Hawks,29,35.2,51.8
2019-20,Minnesota Timberwolves,36,35.1,50.4
2019-20,Boston Celtics*,49,36.5,52.7
2019-20,Brooklyn Nets*,42,35.3,51.3
2019-20,Los Angeles Lakers,37,33.3,54.1
2019-20,Utah Jazz*,50,35.6,54.1
2019-20,San Antonio Spurs*,48,39.2,51.3
2019-20,Charlotte Hornets,39,35.1,50.7
2019-20,Denver Nuggets*,54,35.1,52.7
2019-20,Dallas Mavericks,33,34,52.4
2019-20,Indiana Pacers*,48,37.4,51.7
2019-20,Phoenix Suns,19,32.9,52.5
2019-20,Orlando Magic*,42,35.6,50.9
2019-20,Detroit Pistons*,41,34.8,50
2019-20,Miami Heat,39,34.9,50.9
2019-20,Chicago Bulls,22,35.1,49.6
2019-20,New York Knicks,17,34,47.9
2019-20,Cleveland Cavaliers,19,35.5,48.8
2019-20,Memphis Grizzlies,33,34.2,50.5
